00CHVWLLPBXFU	45.1674	-93.1223
00CHVWLLPI5BI	39.0012	-76.9317
2DCAMPY4244LQ	39.0335	-77.4838
2DCAMPY4246DC	32.9234	-97.0810
2DCAMPY42474Q	25.7052	-80.4633
2DCAMPY4247A6	42.0876	-71.4073
2DCAMPY4247BI	43.1518	-77.5852
2DCAMPY4247FK	39.9769	-74.2557
2DCAMPY4247I2	36.2467	-83.1807
2DCAMPY4247OC	45.3343	-93.5677
2DCAMPY4247UU	25.7014	-80.3582
2DCAMPY4247XY	40.8195	-73.9209
2DCAMPY424A3E	41.6933	-71.6395
2DCAMPY424A6Q	41.8648	-72.6819
2DCAMPY424AZ6	41.3617	-71.8024
2DCAMPY424B6A	39.0649	-76.9798
2DCAMPY424BTQ	42.1733	-72.7715
2DCAMPY424BXS	40.9151	-73.7818
2DCAMPY424CBE	46.7833	-92.1066
2DCAMPY424GB6	25.7529	-80.2333
2DCAMPY424GOU	30.6586	-88.3535
2DCAMPY424GUC	39.4822	-77.4576
2DCAMPY424H6M	30.6586	-88.3535
2DCAMPY424HI4	45.4691	-122.5535
2DCAMPY424HNI	41.1343	-81.8559
2DCAMPY424JBA	28.3047	-81.4167
2DCAMPY424JD2	35.4835	-97.6540
2DCAMPY424JJE	34.2281	-84.1780
2DCAMPY424JXQ	35.9298	-86.4605
2DCAMPY424N7O	37.6610	-77.5312
2DCAMPY424NJ6	41.9373	-87.6551
2DCAMPY424NLE	44.2760	-88.3730
2DCAMPY424NMK	40.0853	-82.9752
2DCAMPY424NRS	39.8566	-74.6704
2DCAMPY424ODG	32.8659	-97.2176
2DCAMPY424OEI	33.8366	-112.1189
2DCAMPY424OHE	37.3013	-121.8079
2DCAMPY424OUA	34.0964	-83.5740
2DCAMPY424OW2	29.9980	-90.1340
2DCAMPY424PPQ	29.9271	-90.0973
2DCAMPY424PVG	37.2362	-121.8289
2DCAMPY424QAA	47.7205	-122.2067
2DCAMPY424QGY	42.0534	-88.0540
2DCAMPY424QMG	41.0979	-80.7613
2DCAMPY424R5I	32.8183	-117.1966
2DCAMPY424R7S	33.1581	-117.3506
2DCAMPY424RJC	35.2044	-85.3255
2DCAMPY424RKO	35.2527	-80.6929
2DCAMPY424RQY	32.8574	-96.8706
2DCAMPY424SJE	40.6421	-79.9445
2DCAMPY424SY2	44.9355	-93.2505
2DCAMPY424T6S	33.3861	-111.8469
2DCAMPY424TEE	34.0522	-118.2437
2DCAMPY424TFS	39.0295	-94.6283
2DCAMPY424THI	39.7042	-74.2546
2DCAMPY424TZ4	40.7958	-73.9775
2DCAMPY424U2M	34.2281	-84.1780
2DCAMPY424U5C	34.9182	-120.2322
2DCAMPY424UQS	39.3863	-119.8729
2DCAMPY424UYW	40.5170	-74.8680
2DCAMPY424VXM	39.4363	-76.6389
2DCAMPY424WDA	40.4981	-74.5245
2DCAMPY424WII	34.1683	-118.3730
2DCAMPY424WLE	33.9782	-117.9040
2DCAMPY424WPG	33.8181	-84.3604
2DCAMPY424WTI	40.1246	-75.5385
2DCAMPY424X2K	35.1155	-84.8211
2DCAMPY424XGE	29.7709	-94.9071
2DCAMPY424XJO	41.1271	-73.4416
